"year","zone","destination","method","mean"
"2007","S01001795","Library","Car","4.7"
"2007","S01001795","Chemists And Pharmacies","Car","1.9"
"2007","S01001795","Nursery","Car","1.7"
"2007","S01001795","Further Education Establishment","Car","9.8"
"2009","S01001795","Nursery","Car","0.7"
"2003","S01001795","Petrol Station","Car","6.4"
"2007","S01001795","Petrol Station","Car","2.7"
"2009","S01001795","Petrol Station","Car","1.3"
"2012","S01001795","Petrol Station","Car","5.2"
"2006","S01001795","Petrol Station","Car","2.7"
"2009","S01001795","Further Education Establishment","Car","2.7"
"2009","S01001795","Police Station","Car","2.8"
"2007","S01001795","Police Station","Car","5.7"
"2009","S01001795","Post Office","Car","0.7"
"2007","S01001795","Post Office","Car","1.7"
"2006","S01001795","Post Office","Car","1.7"
"2009","S01001795","Bank Or Building Society","Car","0.7"
"2009","S01001795","General Store","Car","1.6"
"2003","S01001795","Post Office","Car","3.4"
"2009","S01001795","Cash Machine","Public Transport","21.5"
"2009","S01001795","Citizens Advice Bureau","Public Transport","47.1"
"2009","S01001795","Chemists And Pharmacies","Public Transport","15.1"
"2009","S01001795","Further Education Establishment","Public Transport",17
"2009","S01001795","General Store","Public Transport",11
"2006","S01001795","GP","Public Transport","18.3"
"2012","S01001795","GP","Public Transport","9.5"
"2009","S01001795","GP","Public Transport","10.3"
"2009","S01001795","Higher Education Establishment","Public Transport","15.9"
"2009","S01001795","Jobcentre Plus","Public Transport","19.8"
"2009","S01001795","Library","Public Transport","11.8"
"2009","S01001795","Nursery","Public Transport","7.8"
"2009","S01001795","Police Station","Public Transport","14.7"
"2012","S01001795","Post Office","Public Transport","8.6"
"2009","S01001795","Post Office","Public Transport","5.9"
"2006","S01001795","Post Office","Public Transport","7.2"
"2012","S01001795","Shopping Facilities","Public Transport","16.7"
"2009","S01001795","Shopping Facilities","Public Transport","15.4"
"2006","S01001795","Shopping Facilities","Public Transport","18.3"
"2009","S01001795","Banks And Building Societies","Public Transport","6.5"
"2007","S01001796","General Store","Car","10.1"
"2012","S01001796","Post Office","Car","4.2"
"2006","S01001796","Primary School","Car","3.6"
"2007","S01001796","Primary School","Car","3.5"
"2009","S01001796","Primary School","Car","1.3"
"2012","S01001796","Primary School","Car",7
"2003","S01001796","Primary School","Car","3.8"
"2012","S01001796","Secondary School","Car","3.1"
"2007","S01001796","Secondary School","Car","2.9"
"2006","S01001796","Secondary School","Car","2.9"
"2009","S01001796","Secondary School","Car",1
"2007","S01001796","Bank Or Building Society","Car","3.2"
"2012","S01001796","Shopping Facilities","Car",5
"2003","S01001796","GP","Car","3.8"
"2007","S01001796","Citizens Advice Bureau","Car","20.4"
"2007","S01001796","Shopping Facilities","Car","3.4"
"2006","S01001796","Shopping Facilities","Car","3.4"
"2009","S01001796","Shopping Facilities","Car","1.6"
"2003","S01001796","Supermarket","Car","3.4"
"2006","S01001796","GP","Car","3.4"
"2012","S01001796","GP","Car","4.5"
"2007","S01001796","GP","Car","3.4"
"2009","S01001796","Citizens Advice Bureau","Car","6.6"
"2007","S01001796","Cash Machine","Car",3
"2009","S01001796","GP","Car","1.4"
"2007","S01001796","Higher Education Establishment","Car","7.6"
"2009","S01001796","Chemists And Pharmacies","Car","1.3"
"2009","S01001796","Higher Education Establishment","Car",3
"2009","S01001796","Jobcentre Plus","Car","4.3"
"2009","S01001796","Cash Machine","Car","1.3"
"2007","S01001796","Jobcentre Plus","Car","11.1"
"2009","S01001796","Library","Car","1.4"
"2007","S01001796","Library","Car","3.3"
"2007","S01001796","Chemists And Pharmacies","Car","3.2"
"2007","S01001796","Nursery","Car","2.8"
"2007","S01001796","Further Education Establishment","Car","13.6"
"2009","S01001796","Nursery","Car","1.1"
"2003","S01001796","Petrol Station","Car",6
"2007","S01001796","Petrol Station","Car","3.9"
"2009","S01001796","Petrol Station","Car","1.8"
"2012","S01001796","Petrol Station","Car","4.3"
"2006","S01001796","Petrol Station","Car","3.9"
"2009","S01001796","Further Education Establishment","Car","1.2"
"2009","S01001796","Police Station","Car","1.4"
"2007","S01001796","Police Station","Car","3.1"
"2009","S01001796","Post Office","Car","1.4"
"2007","S01001796","Post Office","Car","3.6"
"2006","S01001796","Post Office","Car","3.6"
"2009","S01001796","Bank Or Building Society","Car","1.4"
"2009","S01001796","General Store","Car","3.5"
"2003","S01001796","Post Office","Car","3.7"
"2009","S01001796","Cash Machine","Public Transport",25
"2009","S01001796","Citizens Advice Bureau","Public Transport","52.6"
"2009","S01001796","Chemists And Pharmacies","Public Transport","18.8"
"2009","S01001796","Further Education Establishment","Public Transport","12.8"
"2009","S01001796","General Store","Public Transport","21.5"
"2006","S01001796","GP","Public Transport","13.6"
"2012","S01001796","GP","Public Transport","10.1"
"2009","S01001796","GP","Public Transport","10.3"
"2009","S01001796","Higher Education Establishment","Public Transport",21
"2009","S01001796","Jobcentre Plus","Public Transport","26.1"
"2009","S01001796","Library","Public Transport","8.2"
"2009","S01001796","Nursery","Public Transport","11.3"
"2009","S01001796","Police Station","Public Transport","8.2"
"2012","S01001796","Post Office","Public Transport","8.8"
"2009","S01001796","Post Office","Public Transport","8.2"
"2006","S01001796","Post Office","Public Transport","14.3"
"2012","S01001796","Shopping Facilities","Public Transport","10.2"
"2009","S01001796","Shopping Facilities","Public Transport","8.2"
"2006","S01001796","Shopping Facilities","Public Transport","13.7"
"2009","S01001796","Banks And Building Societies","Public Transport","8.6"
"2007","S01001797","General Store","Car","8.8"
"2012","S01001797","Post Office","Car",3
"2006","S01001797","Primary School","Car","2.1"
"2007","S01001797","Primary School","Car","2.1"
"2009","S01001797","Primary School","Car","0.7"
"2012","S01001797","Primary School","Car","4.5"
"2003","S01001797","Primary School","Car","2.3"
"2012","S01001797","Secondary School","Car",2
"2007","S01001797","Secondary School","Car","2.3"
"2006","S01001797","Secondary School","Car","2.3"
"2009","S01001797","Secondary School","Car","0.6"
"2007","S01001797","Bank Or Building Society","Car","2.7"
"2012","S01001797","Shopping Facilities","Car","5.3"
"2003","S01001797","GP","Car","2.2"
"2007","S01001797","Citizens Advice Bureau","Car",19
"2007","S01001797","Shopping Facilities","Car","4.2"
"2006","S01001797","Shopping Facilities","Car","4.2"
"2009","S01001797","Shopping Facilities","Car","1.8"
"2003","S01001797","Supermarket","Car","2.2"
"2006","S01001797","GP","Car","1.9"
"2012","S01001797","GP","Car","2.9"
"2007","S01001797","GP","Car","1.9"
"2009","S01001797","Citizens Advice Bureau","Car",6
"2007","S01001797","Cash Machine","Car","1.9"
"2009","S01001797","GP","Car","0.8"
"2007","S01001797","Higher Education Establishment","Car","6.9"
"2009","S01001797","Chemists And Pharmacies","Car","0.7"
"2009","S01001797","Higher Education Establishment","Car","2.6"
"2009","S01001797","Jobcentre Plus","Car","3.8"
"2009","S01001797","Cash Machine","Car","0.8"
"2007","S01001797","Jobcentre Plus","Car","9.6"
"2009","S01001797","Library","Car","1.6"
"2007","S01001797","Library","Car","4.2"
"2007","S01001797","Chemists And Pharmacies","Car","1.8"
"2007","S01001797","Nursery","Car","1.4"
"2007","S01001797","Further Education Establishment","Car","12.3"
"2009","S01001797","Nursery","Car","0.5"
"2003","S01001797","Petrol Station","Car","4.6"
"2007","S01001797","Petrol Station","Car","4.4"
"2009","S01001797","Petrol Station","Car","1.4"
"2012","S01001797","Petrol Station","Car","4.5"
"2006","S01001797","Petrol Station","Car","4.4"
"2009","S01001797","Further Education Establishment","Car","0.6"
"2009","S01001797","Police Station","Car","1.5"
"2007","S01001797","Police Station","Car","3.9"
"2009","S01001797","Post Office","Car","0.8"
"2007","S01001797","Post Office","Car","2.4"
"2006","S01001797","Post Office","Car","2.4"
"2009","S01001797","Bank Or Building Society","Car","0.9"
"2009","S01001797","General Store","Car","3.2"
"2003","S01001797","Post Office","Car","2.4"
"2009","S01001797","Cash Machine","Public Transport",23
"2009","S01001797","Citizens Advice Bureau","Public Transport","49.9"
"2009","S01001797","Chemists And Pharmacies","Public Transport","16.7"
"2009","S01001797","Further Education Establishment","Public Transport","6.6"
"2009","S01001797","General Store","Public Transport","18.7"
"2006","S01001797","GP","Public Transport","6.7"
"2012","S01001797","GP","Public Transport","6.8"
"2009","S01001797","GP","Public Transport","7.2"
"2009","S01001797","Higher Education Establishment","Public Transport","17.2"
"2009","S01001797","Jobcentre Plus","Public Transport","23.4"
"2009","S01001797","Library","Public Transport","7.1"
"2009","S01001797","Nursery","Public Transport","8.6"
"2009","S01001797","Police Station","Public Transport","7.1"
"2012","S01001797","Post Office","Public Transport","6.4"
"2009","S01001797","Post Office","Public Transport","6.9"
"2006","S01001797","Post Office","Public Transport","10.9"
"2012","S01001797","Shopping Facilities","Public Transport","9.5"
"2009","S01001797","Shopping Facilities","Public Transport","7.1"
"2006","S01001797","Shopping Facilities","Public Transport","17.5"
"2009","S01001797","Banks And Building Societies","Public Transport","6.8"
"2007","S01001798","General Store","Car","7.8"
"2012","S01001798","Post Office","Car","3.4"
"2006","S01001798","Primary School","Car",4
"2007","S01001798","Primary School","Car",4
